Category,Sub_Category,Recommended_Architecture,Primary_Stack,Secondary_Stack,Database_Strategy,Security_Level,Key_Features,Anti_Patterns
Tech & SaaS,Micro SaaS,Modular Monolith,Node.js (Fastify/TS),Python (FastAPI),PostgreSQL + Redis,High,Multi-tenancy; Generic APIs,Over-engineering with Microservices
Tech & SaaS,B2B Enterprise,Microservices,Java (Spring Boot),Go,PostgreSQL + Elastic,Critical,RBAC; Audit Logs; SSO,Ignoring data isolation
Finance,Fintech,Event-Driven (EDA),Go,Rust,PostgreSQL (ACID) + Kafka,Critical,Idempotency; mTLS; Ledger,Firebase; Weak consistency DBs
Finance,Crypto/Web3,Decentralized / Hybrid,Rust (Actix),Node.js,PostgreSQL + Indexing Service,Critical,Wallet Integration; Cold Storage,Storing private keys in DB
Healthcare,Electronic Health Records,Service Oriented (SOA),Java,Python,SQL (Encrypted at rest) + FHIR,Critical,HIPAA Compliance; Data Masking,Plain-text PII storage
Healthcare,Pharmacy,Modular Monolith,C# (.NET),Node.js,SQL Server,High,Inventory Tracking; E-prescribing,Lack of audit trail
E-commerce,Marketplace,Microservices,Go,Node.js,PostgreSQL + MongoDB + Elastic,High,Shopping Cart; Order Mgmt,Monolith at scale
E-commerce,Subscription Box,Monolith / Serverless,Node.js,Python,PostgreSQL + Stripe,Medium,Recurring Billing; CRM,Scaling before PMF
Services,Beauty/Spa,Serverless / Monolith,Node.js,Python,PostgreSQL,Medium,Booking Logic; Notifications,Overselling capacity
Services,Legal/Consulting,Monolith,Python (Django),PHP (Laravel),SQL (Encrypted),High,Document Mgmt; Billing,Insecure document storage
Creative,Portfolio,Static / Serverless,HTML/Next.js,N/A,Markdown / Supabase,Low,Image Optimization; SEO,Heavy images; No SEO meta
Creative,Gaming Backend,Real-time Mesh,C++,Go (Fiber),Redis + ScyllaDB,High,UDP/WebSockets; Matchmaking,Synchronous HTTP calls
Emerging Tech,AI Platform,Distributed Compute,Python (FastAPI),Go,Vector DB (Pinecone) + SQL,High,RAG Pipelines; Model Serving,Blocking main thread with ML
Emerging Tech,IoT Network,Edge + Central,C++ (Drogon),Go,InfluxDB + MQTT,Medium,Device Management; OTA,Massive poll without Pub/Sub
Real-time,Streaming,Event-Driven,Go,Rust,Cassandra + Redis,High,Video Transcoding; Global CDN,Single point of failure
Real-time,Chat/Social,Pub/Sub,Node.js (Socket.io),Erlang/Elixir,MongoDB + Redis,High,Message Persistence; Presence,Scaling without partitions
Government,E-portal,Micro-segmentation,Java,C#,Hardened SQL,Critical,Zero Trust; PKI; Scalabiliy,Vendor lock-in; Closed source libs
Education,LMS (Learning),Modular Monolith,PHP (Moodle),Node.js,PostgreSQL + S3,Medium,Video Lessons; Quiz Engine,No CDN for video content
Logistics,Supply Chain,Event-Driven,Java,Go,Graph DB (Neo4j) + SQL,High,Route Optimization; Tracking,Ignoring offline-first sync
Logistics,Delivery App,Microservices,Node.js,Go,PostgreSQL + PostGIS,High,Geo-fencing; Real-time Map,Inefficient geo-queries
Automotive,Telematics,Stream Processing,Go,Python,ClickHouse + MQTT,High,Vehicle Diagnostics; Alerts,High latency in alerts
Energy,Smart Grid,Distributed Control,Rust,C++,Time-series DB,Critical,Load Balancing; Security,Grid destabilization via lag
Retail,Inventory Management,Event-Driven,C#,Java,PostgreSQL + Redis,High,Stock Sync; POS Integration,Inconsistent stock counters
Retail,Loyalty Program,Serverless,Node.js,Python,DynamoDB,Medium,Points Engine; Rewards,Expensive per-write costs
Agriculture,IoT Precision,Edge Computing,Python,C++,SQLite + LoRaWAN,Medium,Sensor Data; Offline Sync,High battery drain on devices
Space Tech,Satellite Comms,Hardened Real-time,Rust,C,Specialized FS,Critical,Radiation Hardened; Low power,Standard OS overhead
AI/ML,Model Training,Distributed Orchestration,Python (Ray),Rust,S3 + Vector DB,High,GPU Scheduling; Data Prefetch,I/O bottlenecks
